utc,clocks_sm_mhz,clocks_max_mhz,temp_c,power_w,util_pct,mem_used_mib,pstate,throttle_reasons
14:40:51Z,180MHz,3090MHz,47,12.41W,7%,23596MiB,P8,0x0000000000000000
14:41:22Z,232MHz,3090MHz,56,63.02W,91%,23684MiB,P4,0x0000000000000004
14:41:52Z,232MHz,3090MHz,59,80.12W,88%,23686MiB,P2,0x0000000000000004
14:42:23Z,232MHz,3090MHz,60,52.21W,99%,23686MiB,P4,0x0000000000000004
14:42:53Z,232MHz,3090MHz,60,64.64W,89%,23686MiB,P2,0x0000000000000004
14:43:24Z,180MHz,3090MHz,54,9.96W,1%,23686MiB,P8,0x0000000000000000
14:43:54Z,232MHz,3090MHz,57,71.99W,99%,23687MiB,P4,0x0000000000000004
14:44:24Z,232MHz,3090MHz,59,78.53W,88%,23687MiB,P4,0x0000000000000004
14:44:55Z,232MHz,3090MHz,61,83.69W,85%,23687MiB,P4,0x0000000000000004
14:45:25Z,232MHz,3090MHz,61,73.02W,88%,23689MiB,P0,0x0000000000000000
14:45:55Z,180MHz,3090MHz,55,10.46W,1%,23689MiB,P8,0x0000000000000000
14:46:25Z,232MHz,3090MHz,57,70.39W,87%,23689MiB,P4,0x0000000000000004
14:46:56Z,232MHz,3090MHz,58,66.96W,51%,23689MiB,P0,0x0000000000000000
14:47:27Z,232MHz,3090MHz,62,39.67W,44%,23696MiB,P4,0x0000000000000004
14:47:58Z,232MHz,3090MHz,61,53.25W,42%,23693MiB,P4,0x0000000000000004
14:48:29Z,180MHz,3090MHz,61,68.68W,92%,23693MiB,P2,0x0000000000000004
14:48:59Z,232MHz,3090MHz,61,66.87W,61%,23693MiB,P2,0x0000000000000000
14:49:30Z,232MHz,3090MHz,62,64.52W,37%,23693MiB,P4,0x0000000000000004
14:50:00Z,232MHz,3090MHz,57,16.06W,0%,23693MiB,P4,0x0000000000000000
14:50:31Z,180MHz,3090MHz,55,9.22W,1%,23693MiB,P8,0x0000000000000000
sampler stopped 14:51:02Z
