utc,clocks_sm_mhz,clocks_max_mhz,temp_c,power_w,util_pct,mem_used_mib,pstate,throttle_reasons
18:16:37Z,180MHz,3090MHz,44,7.12W,2%,23844MiB,P8,0x0000000000000000
18:17:07Z,232MHz,3090MHz,53,81.64W,96%,23862MiB,P4,0x0000000000000004
18:17:37Z,232MHz,3090MHz,56,17.62W,83%,23862MiB,P2,0x0000000000000000
18:18:07Z,232MHz,3090MHz,58,86.85W,0%,23862MiB,P4,0x0000000000000004
18:18:37Z,232MHz,3090MHz,60,85.82W,91%,23862MiB,P4,0x0000000000000004
18:19:08Z,232MHz,3090MHz,60,71.45W,91%,23862MiB,P4,0x0000000000000004
18:19:38Z,232MHz,3090MHz,62,84.50W,88%,23862MiB,P4,0x0000000000000004
18:20:08Z,232MHz,3090MHz,61,92.29W,92%,23862MiB,P4,0x0000000000000004
18:20:38Z,232MHz,3090MHz,62,95.89W,87%,23862MiB,P2,0x0000000000000004
18:21:08Z,232MHz,3090MHz,63,59.99W,98%,23862MiB,P4,0x0000000000000004
18:21:39Z,232MHz,3090MHz,60,18.81W,41%,23862MiB,P4,0x0000000000000000
18:22:09Z,180MHz,3090MHz,61,75.40W,90%,23862MiB,P4,0x0000000000000004
18:22:39Z,180MHz,3090MHz,62,84.66W,90%,23862MiB,P4,0x0000000000000004
18:23:09Z,180MHz,3090MHz,63,76.55W,90%,23862MiB,P2,0x0000000000000004
18:23:39Z,180MHz,3090MHz,62,85.59W,89%,23862MiB,P2,0x0000000000000004
18:24:09Z,180MHz,3090MHz,63,17.96W,14%,23862MiB,P2,0x0000000000000000
18:24:39Z,180MHz,3090MHz,59,80.67W,91%,23862MiB,P4,0x0000000000000004
18:25:09Z,180MHz,3090MHz,63,88.31W,89%,23862MiB,P2,0x0000000000000004
18:25:39Z,180MHz,3090MHz,64,85.88W,95%,23862MiB,P4,0x0000000000000004
18:26:09Z,180MHz,3090MHz,62,87.44W,96%,23862MiB,P4,0x0000000000000004
18:26:39Z,180MHz,3090MHz,64,93.46W,89%,23862MiB,P4,0x0000000000000004
18:27:09Z,180MHz,3090MHz,63,90.19W,88%,23862MiB,P2,0x0000000000000004
18:27:39Z,180MHz,3090MHz,63,73.86W,88%,23862MiB,P4,0x0000000000000004
18:28:10Z,180MHz,3090MHz,62,97.01W,84%,23862MiB,P4,0x0000000000000004
18:28:40Z,180MHz,3090MHz,63,85.95W,91%,23862MiB,P4,0x0000000000000004
18:29:10Z,180MHz,3090MHz,63,87.67W,92%,23862MiB,P2,0x0000000000000004
18:29:40Z,180MHz,3090MHz,63,37.72W,76%,23862MiB,P2,0x0000000000000000
18:30:10Z,180MHz,3090MHz,63,74.39W,89%,23862MiB,P2,0x0000000000000004
18:30:40Z,180MHz,3090MHz,64,54.54W,98%,23862MiB,P4,0x0000000000000004
18:31:10Z,180MHz,3090MHz,64,68.62W,96%,23862MiB,P4,0x0000000000000004
18:31:40Z,180MHz,3090MHz,64,58.02W,98%,23862MiB,P4,0x0000000000000004
18:32:10Z,180MHz,3090MHz,62,91.58W,93%,23862MiB,P4,0x0000000000000004
18:32:40Z,180MHz,3090MHz,64,94.80W,90%,23862MiB,P4,0x0000000000000004
18:33:11Z,180MHz,3090MHz,62,65.56W,93%,23862MiB,P4,0x0000000000000004
18:33:41Z,180MHz,3090MHz,61,29.86W,0%,23862MiB,P4,0x0000000000000004
18:34:11Z,180MHz,3090MHz,63,55.54W,89%,23862MiB,P4,0x0000000000000004
18:34:41Z,180MHz,3090MHz,64,82.70W,97%,23862MiB,P4,0x0000000000000004
18:35:12Z,180MHz,3090MHz,63,56.51W,99%,23862MiB,P4,0x0000000000000004
18:35:42Z,180MHz,3090MHz,64,84.11W,83%,23862MiB,P4,0x0000000000000004
18:36:13Z,180MHz,3090MHz,62,69.91W,97%,23864MiB,P4,0x0000000000000004
18:36:43Z,180MHz,3090MHz,64,53.12W,95%,23864MiB,P4,0x0000000000000004
18:37:13Z,180MHz,3090MHz,64,76.27W,90%,23864MiB,P2,0x0000000000000004
18:37:43Z,180MHz,3090MHz,57,10.90W,0%,23864MiB,P8,0x0000000000000000
sampler stopped 18:38:13Z
